build_year,community,deal_time,decoration,elevator,floor,info,number,orientation,property_time,region,size,style,total_price,unit_price
2000,新丽苑,2016.05.22,其他,无,高楼层(共6层),,GZ0001465531,暂无数据,暂无数据,广州-荔湾,56㎡,2室1厅0厨1卫,54万,9643元/平
未知, 4室1厅,2016.04.29,简装,无,高楼层(共8层),暂无信息,GZ0001386286,暂无数据,暂无数据,广州-,111㎡,4室1厅0厨1卫,85万,7658元/平
1995,芳村大道东,2016.04.29,其他,有,高楼层(共9层),,GZ0001479012,南,暂无数据,广州-荔湾,70㎡,2室2厅0厨1卫,72万,10286元/平
2000,桥中花园,2017.03.06,其他,无,高楼层(共9层),,GZ0002200529,南 北,满两年,广州-荔湾,80.09㎡,1室1厅1厨1卫,36万,4495元/平
1997,沥滘公安宿舍,2016.11.15,简装,无,高楼层(共9层),,GZ0002185481,北,满五年,广州-海珠,63㎡,2室1厅0厨1卫,65万,10318元/平
2000,新丽苑,2016.10.20,简装,无,中楼层(共6层),,GZ0001832508,南 北,满五年,广州-荔湾,56㎡,2室2厅1厨1卫,59万,10447元/平
2000,新丽苑,2016.09.16,精装,无,高楼层(共6层),,GZ0001466559,东南,暂无数据,广州-荔湾,143㎡,3室2厅0厨3卫,143万,10000元/平
未知,商业大道,2016.03.30,其他,无,中楼层(共8层),,GZ0001482599,暂无数据,暂无数据,广州-花都,91.8㎡,3室2厅0厨0卫,43万,4685元/平
未知,美林湖贝沙湾,2017.04.11,其他,暂无数据,高楼层(共15层),暂无信息,GZ0002397715,东南,暂无数据,广州-花都,218.16㎡,5室2厅1厨2卫,125万,5730元/平
1998,祥兴新村,2016.05.26,简装,无,高楼层(共9层),暂无信息,GZ0001532132,东北,暂无数据,广州-荔湾,63.55㎡,3室1厅0厨1卫,65万,10229元/平
1992,钢琴厂宿舍,2017.01.19,简装,无,高楼层(共9层),,GZ0002234766,南,暂无数据,广州-荔湾,49㎡,2室1厅0厨1卫,52万,10490元/平
1997,新华路,2016.05.10,其他,无,中楼层(共8层),,GZ0001344183,暂无数据,暂无数据,广州-花都,76㎡,2室2厅0厨1卫,47万,6119元/平
2008,雅居乐锦城花间集,2016.09.30,其他,有,高楼层(共25层),暂无信息,GZ0001939990,南,暂无数据,广州-花都,75㎡,3室2厅0厨2卫,42万,5600元/平
2000,新丽苑,2016.11.14,其他,无,高楼层(共6层),,GZ0002003506,南 北,暂无数据,广州-荔湾,56.35㎡,2室1厅1厨1卫,52万,9229元/平
1999,广船鹤园小区,2017.10.12,其他,无,低楼层(共5层),,GZ0003111756,南,暂无数据,广州-荔湾,36.8㎡,2室1厅1厨1卫,30万,8153元/平
2010,合景天湖峰境,2018.06.27,其他,暂无数据,中楼层(共28层),暂无信息,GZ0003572614,南,暂无数据,广州-花都,170㎡,4室2厅1厨2卫,79万,4648元/平
2005,嘉逸华庭,2016.10.17,毛坯,无,高楼层(共8层),暂无信息,GZ0001861633,东北,暂无数据,广州-花都,154㎡,4室2厅0厨3卫,90万,5845元/平
2012,富力金港城东区,2016.10.24,其他,有,中楼层(共18层),暂无信息,GZ0002057655,北,暂无数据,广州-花都,48㎡,1室1厅1厨1卫,30万,6250元/平
